Title,Genre,Year,Runtime,Rating,desc,Votes,Director,Stars
The Breaking Point,"Crime, Drama, Film-Noir            ",1950,97 min,7.5,An otherwise moral captain of a charter boat becomes financially strapped and is drawn into illegal activities in order to keep up payments on his boat.,"222,701",Billy Wilder,William Holden
Caged,"Crime, Drama, Film-Noir            ",1950,96 min,7.6,"A gentle, naive, pregnant 19-year-old widow is slowly, inexorably ground down by the hardened criminals, sadistic guards, and matron at a woman's prison. Will she be the same person when her sentence is up?","1,714",Cy Endfield,Frank Lovejoy
The Capture,"Crime, Drama, Western            ",1950,91 min,5.9,A badly injured fugitive explains to a priest how he came to be in his present predicament.,"1,508",William Dieterle,William Holden
The Company She Keeps,Drama            ,1951,82 min,6.3,"A female ex-convict meets a handsome man and they start dating, but she jeopardizes their relationship by not telling him that she was in prison--and he doesn't reveal his involvement with her parole officer.","1,227",Cy Endfield,Dan Duryea
Convicted,"Action, Crime, Drama            ",1950,91 min,6.8,"A D.A. becomes the prison warden where he tries to help an inmate he prosecuted, because he believes his sentence was excessive.","2,550",Rudolph Maté,William Holden
Crisis,"Crime, Drama, Romance            ",1950,95 min,6.7,"While on vacation in a Latin American country, an American neurosurgeon and his wife become tangled in a revolutionary uprising against a tyrannical dictator.","1,098",Robert Stevenson,Joseph Cotten
D.O.A.,"Crime, Drama, Film-Noir            ",1949,83 min,7.2,"Frank Bigelow, told he's been poisoned and has only a few days to live, tries to find out who killed him and why.","3,003",John Farrow,Robert Mitchum
The Damned Don't Cry,"Crime, Drama, Film-Noir            ",1950,103 min,7.2,A New York socialite climbs the ladder of success man by man until a life among rich gangsters gives her what she thought she always wanted.,"9,277",Otto Preminger,Dana Andrews
Dark City,"Crime, Drama, Film-Noir            ",1950,98 min,6.7,"Gamblers who ""took"" an out-of-town sucker in a crooked poker game feel shadowy vengeance closing in on them.","20,226",Anthony Mann,James Stewart
Destination Murder,"Crime, Drama, Film-Noir            ",1950,72 min,6.1,"When Laura Mansfield's father is killed by a delivery man, the police has few clues and the investigation drags on but Laura decides to find the killer on her own.","4,150",Norman Foster,Ann Sheridan
Devil's Doorway,"Romance, Western            ",1950,84 min,7.2,"After the Civil War, a highly decorated Shoshone Indian veteran plans to raise cattle in Wyoming but white farmers plan to grab fertile tribal lands by pitting the whites against the Indians.","2,985",Irving Rapper,Bette Davis
Dial 1119,"Film-Noir, Thriller            ",1950,75 min,6.7,An escaped psychiatric patient causes havoc.,"1,333",Lewis Allen,Alan Ladd
Edge of Doom,"Crime, Drama, Film-Noir            ",1950,99 min,6.4,A mentally unbalanced young man kills a priest. One of the priest's colleagues sets out to find the killer.,"36,486",Billy Wilder,Kirk Douglas
The File on Thelma Jordon,"Crime, Drama, Film-Noir            ",1949,100 min,6.9,Assistant district attorney Cleve Marshall falls for the mysterious Thelma Jordon when she seeks help solving robberies of her aunt's estate.,"1,008",Joseph Losey,John Drew Barrymore
The Furies,"Drama, Romance, Western            ",1950,109 min,7.3,"A firebrand heiress clashes with her tyrannical father, a cattle rancher who fancies himself a Napoleon, but their relationship turns ugly only when he finds himself a new woman.","2,371",Tay Garnett,Loretta Young
Gambling House,"Crime, Drama, Film-Noir            ",1950,80 min,6.1,"In New York, a small-time hood, who took the rap for a murder committed by his crime-boss in exchange for 50 G's, faces deportation because he doesn't hold American citizenship.",664,Francis Searle,Robert Preston
Guilty Bystander,"Crime, Drama, Film-Noir            ",1950,91 min,6.2,"An alcoholic ex-cop, now the house detective at a scuzzy hotel in an even scuzzier part of town, stumbles through New York City's sleazy underworld searching for his kidnapped son.",899,Ralph Thomas,Jean Simmons
Gun Crazy,"Crime, Drama, Film-Noir            ",1950,87 min,7.6,Two disturbed young people release their fascination with guns through a crime spree.,"2,523",Robert Parrish,|
The Gunfighter,Western            ,1950,85 min,7.7,"Notorious gunfighter Jimmy Ringo rides into town to find his true love, who doesn't want to see him. He hasn't come looking for trouble, but trouble finds him around every corner.","1,072",Laslo Benedek,Fredric March
Gunman in the Streets,"Crime, Drama            ",1950,86 min,6.6,American army deserter turned criminal-on-the-run Eddy Roback must evade the French authorities in a nation-wide manhunt as he attempts to cross the border into Belgium.,"8,689",William Wyler,Kirk Douglas
Highway 301,"Crime, Drama, Film-Noir            ",1950,83 min,6.7,"Led by a psychopathic killer, a vicious gang of armed robbers terrorizes Virginia, Maryland and North Carolina, robbing banks and payrolls and murdering anyone who might identify them.","5,204",Bretaigne Windust,|
House by the River,"Crime, Drama, Film-Noir            ",1950,83 min,7.1,"A deranged writer murders a maid after she resists his advances. The writer engages his brother's help in hiding the body, causing unexpected problems for both of them.",303,Henry Levin,John Derek
Hunt the Man Down,"Crime, Film-Noir, Mystery            ",1950,69 min,6.4,"The suspect in a 12-year-old murder case is finally caught and tried, but the witnesses are a bit hard to track down...","1,974",Samuel Fuller,Richard Basehart
The Woman on Pier 13,"Crime, Drama, Film-Noir            ",1949,73 min,6,"Successful, newly married Brad Collins once belonged to the Communist Party of the USA, and now the Party will stop at nothing to use him.","2,735",Henry Hathaway,Paul Douglas
In a Lonely Place,"Drama, Film-Noir, Mystery            ",1950,94 min,7.9,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.","2,668",John Berry,John Garfield
The Killer That Stalked New York,"Drama, Film-Noir, Thriller            ",1950,79 min,6.4,"Police seek a smuggler while doctors, unaware she's the same person, desperately comb unprotected New York for a smallpox carrier.","4,528",John Farrow,|
Kiss Tomorrow Goodbye,"Crime, Film-Noir, Thriller            ",1950,102 min,7.1,"Starting with a violent prison break, clever, ruthless Ralph Cotter corrupts everyone around him.",721,William Castle,Richard Conte
A Lady Without Passport,"Crime, Drama, Film-Noir            ",1950,74 min,6.1,"During the 1950s, an undercover U.S. Immigration investigator travels to Cuba to bust a crime ring that smuggles illegal-aliens into the USA but he falls in love with a smuggled woman.","1,021",Max Nosseck,Lawrence Tierney
The Lawless,"Crime, Drama, Film-Noir            ",1950,83 min,6.7,"A newspaper editor in a small agricultural town finds himself going against the people in the town when he gets involved in the plight of the area's fruit pickers, who are mostly Mexican.","3,235",Robert Wise,Richard Basehart
The Man Who Cheated Himself,"Crime, Drama, Film-Noir            ",1950,81 min,6.8,A veteran homicide detective who has witnessed his socialite girlfriend kill her husband sees his newly-minted detective brother assigned to the case alongside him.,873,Gordon Douglas,Frank Lovejoy
Mystery Street,"Crime, Drama, Film-Noir            ",1950,93 min,7.2,A small-town policeman is assisted by a Harvard professor after the discovery of a human skeleton on a Massachusetts beach.,235,Joseph Pevney,Jeff Chandler
New York Confidential,"Crime, Drama, Film-Noir            ",1955,88 min,7,"A top syndicate crime boss and his corrupt politicians, make multi-million deals and order murders , until the vicious pattern finally catches up to him.",970,King Vidor,Richard Todd
Night and the City,"Crime, Film-Noir, Mystery            ",1950,101 min,7.9,A small-time grifter and nightclub tout takes advantage of some fortuitous circumstances and tries to become a big-time player as a wrestling promoter.,"2,190",Joseph Losey,David Wayne
No Man of Her Own,"Drama, Film-Noir, Romance            ",1950,98 min,7.4,"A pregnant woman adopts the identity of a railroad-crash victim and starts a new life with the woman's wealthy in-laws, but is soon blackmailed by her devious ex.",391,Edward Montagne,Barry Nelson
No Way Out,"Crime, Drama, Film-Noir            ",1950,106 min,7.4,"Two hoodlums, brothers, are shot and wounded during an attempted robbery. They are taken to a nearby hospital where one brother dies. The surviving brother, a rabid racist, blames the African-American doctor for his death.",118,Philip Ford,Penny Edwards
Once a Thief,"Crime, Drama, Film-Noir            ",1950,88 min,6.2,"A down-on-her-luck San Francisco woman, turning in desperation to jewel robbery, barely escapes getting nabbed in a heist and moves to Los Angeles where she gets an honest job as a waitress...                See full summary »","2,296",Robert Parrish,Broderick Crawford
One Way Street,"Crime, Drama, Film-Noir            ",1950,79 min,6.6,"After stealing a gangster's money and his girlfriend, a doctor heads for a small village in Mexico.",237,Ralph Murphy,Dane Clark
Paid in Full,"Drama, Romance            ",1950,98 min,6.2,"Jane Langley has always done all she can for her selfish sibling Nancy. After both sisters fall in love with handsome Bill Prentice, Jane graciously steps aside. Relationships among all ...                See full summary »",477,Fletcher Markle,Ray Milland
Panic in the Streets,"Crime, Drama, Film-Noir            ",1950,96 min,7.2,A doctor and a policeman in New Orleans have only 48 hours to locate a killer infected with pneumonic plague.,713,Harold F. Kress,Barry Sullivan
Quicksand,"Crime, Drama, Film-Noir            ",1950,79 min,6.6,"After taking 20 dollars from his employer to go on a date with plans to repay it the next day, an auto mechanic falls into increasingly disastrous circumstances for more and more money which rapidly spirals out of his control.","1,391",John Sturges,Spencer Tracy
The Secret Fury,"Crime, Drama, Film-Noir            ",1950,85 min,6.7,A woman preparing to marry her fiance is accused of bigamy by a stranger but she fights back by trying to prove she's the victim of a conspiracy designed to discredit her.,"23,051",George Stevens,Montgomery Clift
711 Ocean Drive,"Action, Crime, Drama            ",1950,102 min,6.8,"An electronics expert creates a huge bookie broadcast system for his crime boss, and takes over operations when his boss is murdered. His greed leads him on a deadly destructive path.","3,574",Joseph Losey,Van Heflin
Shadow on the Wall,"Comedy, Crime, Drama            ",1950,84 min,6.7,"A woman impulsively murders her sister after discovering she has been having an affair with her fiancé, and later plans on killing the little girl who may have witnessed the crime.","3,107",John Cromwell,Tay Garnett
Shakedown,"Crime, Drama, Film-Noir            ",1950,80 min,7,"Unscrupulous and opportunistic San Francisco news media photographer Jack Early steps on and uses folks to get ahead, but in the end he tangles with the wrong people.",314,George Sherman,Shelley Winters
Side Street,"Crime, Drama, Film-Noir            ",1950,83 min,7.1,A struggling young father-to-be gives in to temptation and impulsively steals money from the office of a shady lawyer--with catastrophic consequences.,"2,870",Henry Hathaway,Tyrone Power
The Sleeping City,"Crime, Drama, Film-Noir            ",1950,86 min,6.7,"In New York, the murder of a Bellvue Hospital intern prompts the police to send an undercover detective to investigate.","1,253",Harold Daniels,Charles McGraw
Southside 1-1000,"Crime, Drama, Film-Noir            ",1950,73 min,6.4,"The US secret service goes after a counterfeit ring, whose engraver Eugene Deane has covertly constructed his plates while serving a life sentence in San Quentin. In order to infiltrate the...                See full summary »",525,Ewald André Dupont,John Ireland
